"","id_file","total_rows","total_inputs","primitive_set","d","num_examples","function","correct_outputs","incorrect_outputs","accuracy","time"
"1","extractDay","7","1","dates.txt","2","1","getDayCardinalString a","6","0","1","3.33783149719238"
"2","extractDay","7","1","dates.txt","3","1","getDayCardinalString a","6","0","1","3.94080710411072"
"3","extractDay","7","1","dates.txt","4","1","getDayCardinalString a","6","0","1","7.16718149185181"
"4","extractDay","7","1","dates.txt","5","1","getDayCardinalString a","6","0","1","85.5080368518829"
"5","extractDay","7","1","emails.txt","2","1","","0","6","0","3.18013548851013"
"6","extractDay","7","1","emails.txt","3","1","","0","6","0","3.88452339172363"
"7","extractDay","7","1","emails.txt","4","1","","0","6","0","6.15077567100525"
"8","extractDay","7","1","emails.txt","5","1","","0","6","0","45.737809419632"
"9","extractDay","7","1","general.txt","2","1","","0","6","0","3.28289723396301"
"10","extractDay","7","1","general.txt","3","1","","0","6","0","3.24980115890503"
"11","extractDay","7","1","general.txt","4","1","","0","6","0","3.39005899429321"
"12","extractDay","7","1","general.txt","5","1","","0","6","0","3.22140169143677"
"13","extractDay","7","1","names.txt","2","1","","0","6","0","3.36265730857849"
"14","extractDay","7","1","names.txt","3","1","","0","6","0","4.03581261634827"
"15","extractDay","7","1","names.txt","4","1","","0","6","0","9.77168989181519"
"16","extractDay","7","1","names.txt","5","1","","0","6","0","107.024340629578"
"17","extractDay","7","1","original.txt","2","1","","0","6","0","3.59705328941345"
"18","extractDay","7","1","original.txt","3","1","","0","6","0","3.72164440155029"
"19","extractDay","7","1","original.txt","4","1","","0","6","0","5.58744668960571"
"20","extractDay","7","1","original.txt","5","1","take 2 (drop 3 a)","1","5","0.166666666666667","14.242107629776"
"21","extractDay","7","1","words.txt","2","1","","0","6","0","3.42975831031799"
"22","extractDay","7","1","words.txt","3","1","","0","6","0","3.87234783172607"
"23","extractDay","7","1","words.txt","4","1","","0","6","0","8.8958203792572"
"24","extractDay","7","1","words.txt","5","1","","0","6","0","90.5815756320953"
"25","extractDay","7","1","dates.txt","2","2","getDayCardinalString a","6","0","1","3.35694050788879"
"26","extractDay","7","1","dates.txt","3","2","getDayCardinalString a","6","0","1","3.80570507049561"
"27","extractDay","7","1","dates.txt","4","2","getDayCardinalString a","6","0","1","7.26459050178528"
"28","extractDay","7","1","dates.txt","5","2","getDayCardinalString a","6","0","1","84.4558053016663"
"29","extractDay","7","1","emails.txt","2","2","","0","6","0","3.29580402374268"
"30","extractDay","7","1","emails.txt","3","2","","0","6","0","3.73117971420288"
"31","extractDay","7","1","emails.txt","4","2","","0","6","0","6.48482227325439"
"32","extractDay","7","1","emails.txt","5","2","getWordsBetweenAtAndDot (replacePositionString a at 5)","0","6","0","46.0689384937286"
"33","extractDay","7","1","general.txt","2","2","","0","6","0","3.48148250579834"
"34","extractDay","7","1","general.txt","3","2","","0","6","0","3.04462552070618"
"35","extractDay","7","1","general.txt","4","2","","0","6","0","3.37792181968689"
"36","extractDay","7","1","general.txt","5","2","","0","6","0","3.32732367515564"
"37","extractDay","7","1","names.txt","2","2","","0","6","0","3.39698338508606"
"38","extractDay","7","1","names.txt","3","2","","0","6","0","3.58459424972534"
"39","extractDay","7","1","names.txt","4","2","","0","6","0","9.9512791633606"
"40","extractDay","7","1","names.txt","5","2","getFirstSymbolOccurrenceToEnd a (reduceWord a 6)","1","5","0.166666666666667","108.601940870285"
"41","extractDay","7","1","original.txt","2","2","","0","6","0","3.47757959365845"
"42","extractDay","7","1","original.txt","3","2","","0","6","0","3.60312795639038"
"43","extractDay","7","1","original.txt","4","2","","0","6","0","4.81497144699097"
"44","extractDay","7","1","original.txt","5","2","drop 6 a","1","5","0.166666666666667","16.5994601249695"
"45","extractDay","7","1","words.txt","2","2","","0","6","0","3.46768021583557"
"46","extractDay","7","1","words.txt","3","2","","0","6","0","3.59744882583618"
"47","extractDay","7","1","words.txt","4","2","","0","6","0","8.7361798286438"
"48","extractDay","7","1","words.txt","5","2","getLastSymbolOccurrenceToEnd (getFirstDigitToEnd (reduceSpaces a)) dash","0","6","0","92.5545485019684"
"49","extractDay","7","1","dates.txt","2","3","getDayCardinalString a","6","0","1","3.09770154953003"
"50","extractDay","7","1","dates.txt","3","3","getDayCardinalString a","6","0","1","3.78812456130981"
"51","extractDay","7","1","dates.txt","4","3","getDayCardinalString a","6","0","1","7.2521345615387"
"52","extractDay","7","1","dates.txt","5","3","getDayCardinalString a","6","0","1","85.2781398296356"
"53","extractDay","7","1","emails.txt","2","3","","0","6","0","3.32521152496338"
"54","extractDay","7","1","emails.txt","3","3","","0","6","0","3.60081005096436"
"55","extractDay","7","1","emails.txt","4","3","","0","6","0","6.6839747428894"
"56","extractDay","7","1","emails.txt","5","3","getWordsBetweenAtAndDot (replacePositionString a at 5)","0","6","0","45.3357563018799"
"57","extractDay","7","1","general.txt","2","3","","0","6","0","3.35489416122437"
"58","extractDay","7","1","general.txt","3","3","","0","6","0","3.87461519241333"
"59","extractDay","7","1","general.txt","4","3","","0","6","0","3.49294352531433"
"60","extractDay","7","1","general.txt","5","3","","0","6","0","3.27123332023621"
"61","extractDay","7","1","names.txt","2","3","","0","6","0","3.73711609840393"
"62","extractDay","7","1","names.txt","3","3","","0","6","0","3.97192120552063"
"63","extractDay","7","1","names.txt","4","3","","0","6","0","10.2504456043243"
"64","extractDay","7","1","names.txt","5","3","getFirstSymbolOccurrenceToEnd a (reduceWord a 6)","1","5","0.166666666666667","108.985272407532"
"65","extractDay","7","1","original.txt","2","3","","0","6","0","3.28676724433899"
"66","extractDay","7","1","original.txt","3","3","","0","6","0","3.43441390991211"
"67","extractDay","7","1","original.txt","4","3","","0","6","0","5.24088931083679"
