"","id_file","total_rows","total_inputs","primitive_set","d","num_examples","function","correct_outputs","incorrect_outputs","accuracy","time"
"1","deletePunctuation","5","1","dates.txt","2","1","deletePunctuationString a","4","0","1","3.29460954666138"
"2","deletePunctuation","5","1","dates.txt","3","1","deletePunctuationString a","4","0","1","4.12301826477051"
"3","deletePunctuation","5","1","dates.txt","4","1","deletePunctuationString a","4","0","1","6.91088390350342"
"4","deletePunctuation","5","1","dates.txt","5","1","deletePunctuationString a","4","0","1","87.8641030788422"
"5","deletePunctuation","5","1","emails.txt","2","1","deletePunctuationString a","4","0","1","3.31010317802429"
"6","deletePunctuation","5","1","emails.txt","3","1","deletePunctuationString a","4","0","1","3.77344679832458"
"7","deletePunctuation","5","1","emails.txt","4","1","deletePunctuationString a","4","0","1","6.29591226577759"
"8","deletePunctuation","5","1","emails.txt","5","1","deletePunctuationString a","4","0","1","45.4271733760834"
"9","deletePunctuation","5","1","general.txt","2","1","","0","4","0","3.59501791000366"
"10","deletePunctuation","5","1","general.txt","3","1","","0","4","0","3.04664635658264"
"11","deletePunctuation","5","1","general.txt","4","1","","0","4","0","3.24803400039673"
"12","deletePunctuation","5","1","general.txt","5","1","","0","4","0","3.28280401229858"
"13","deletePunctuation","5","1","names.txt","2","1","deletePunctuationString a","4","0","1","3.56021165847778"
"14","deletePunctuation","5","1","names.txt","3","1","deletePunctuationString a","4","0","1","3.65416598320007"
"15","deletePunctuation","5","1","names.txt","4","1","deletePunctuationString a","4","0","1","9.59097909927368"
"16","deletePunctuation","5","1","names.txt","5","1","deletePunctuationString a","4","0","1","109.707496166229"
"17","deletePunctuation","5","1","original.txt","2","1","","0","4","0","3.39724183082581"
"18","deletePunctuation","5","1","original.txt","3","1","","0","4","0","3.36719441413879"
"19","deletePunctuation","5","1","original.txt","4","1","filter isDigit a","4","0","1","4.96484518051147"
"20","deletePunctuation","5","1","original.txt","5","1","filter isDigit a","4","0","1","16.8375227451324"
"21","deletePunctuation","5","1","words.txt","2","1","deletePunctuationString a","4","0","1","3.1209511756897"
"22","deletePunctuation","5","1","words.txt","3","1","deletePunctuationString a","4","0","1","3.75111532211304"
"23","deletePunctuation","5","1","words.txt","4","1","deletePunctuationString a","4","0","1","8.71038961410522"
"24","deletePunctuation","5","1","words.txt","5","1","deletePunctuationString a","4","0","1","89.743438243866"
"25","deletePunctuation","5","1","dates.txt","2","2","deletePunctuationString a","4","0","1","3.36303114891052"
"26","deletePunctuation","5","1","dates.txt","3","2","deletePunctuationString a","4","0","1","4.34493827819824"
"27","deletePunctuation","5","1","dates.txt","4","2","deletePunctuationString a","4","0","1","6.87913060188293"
"28","deletePunctuation","5","1","dates.txt","5","2","deletePunctuationString a","4","0","1","82.7425622940063"
"29","deletePunctuation","5","1","emails.txt","2","2","deletePunctuationString a","4","0","1","3.19440150260925"
"30","deletePunctuation","5","1","emails.txt","3","2","deletePunctuationString a","4","0","1","3.65728497505188"
"31","deletePunctuation","5","1","emails.txt","4","2","deletePunctuationString a","4","0","1","6.52651619911194"
"32","deletePunctuation","5","1","emails.txt","5","2","deletePunctuationString a","4","0","1","44.610565662384"
"33","deletePunctuation","5","1","general.txt","2","2","","0","4","0","3.26129150390625"
"34","deletePunctuation","5","1","general.txt","3","2","","0","4","0","3.3265061378479"
"35","deletePunctuation","5","1","general.txt","4","2","","0","4","0","3.3277223110199"
"36","deletePunctuation","5","1","general.txt","5","2","","0","4","0","3.1416962146759"
"37","deletePunctuation","5","1","names.txt","2","2","deletePunctuationString a","4","0","1","3.37958025932312"
"38","deletePunctuation","5","1","names.txt","3","2","deletePunctuationString a","4","0","1","3.69224500656128"
"39","deletePunctuation","5","1","names.txt","4","2","deletePunctuationString a","4","0","1","9.89098358154297"
"40","deletePunctuation","5","1","names.txt","5","2","deletePunctuationString a","4","0","1","108.237222671509"
"41","deletePunctuation","5","1","original.txt","2","2","","0","4","0","3.29657769203186"
"42","deletePunctuation","5","1","original.txt","3","2","","0","4","0","3.34870433807373"
"43","deletePunctuation","5","1","original.txt","4","2","filter isDigit a","4","0","1","5.39118361473083"
"44","deletePunctuation","5","1","original.txt","5","2","filter isDigit a","4","0","1","13.7565879821777"
"45","deletePunctuation","5","1","words.txt","2","2","deletePunctuationString a","4","0","1","3.33680272102356"
"46","deletePunctuation","5","1","words.txt","3","2","deletePunctuationString a","4","0","1","3.73580598831177"
"47","deletePunctuation","5","1","words.txt","4","2","deletePunctuationString a","4","0","1","8.93812918663025"
"48","deletePunctuation","5","1","words.txt","5","2","deletePunctuationString a","4","0","1","91.7958238124847"
"49","deletePunctuation","5","1","dates.txt","2","3","deletePunctuationString a","4","0","1","3.27815818786621"
"50","deletePunctuation","5","1","dates.txt","3","3","deletePunctuationString a","4","0","1","3.98315453529358"
"51","deletePunctuation","5","1","dates.txt","4","3","deletePunctuationString a","4","0","1","7.22608280181885"
"52","deletePunctuation","5","1","dates.txt","5","3","deletePunctuationString a","4","0","1","84.7982017993927"
"53","deletePunctuation","5","1","emails.txt","2","3","deletePunctuationString a","4","0","1","3.25164079666138"
"54","deletePunctuation","5","1","emails.txt","3","3","deletePunctuationString a","4","0","1","3.63113045692444"
"55","deletePunctuation","5","1","emails.txt","4","3","deletePunctuationString a","4","0","1","6.27330660820007"
"56","deletePunctuation","5","1","emails.txt","5","3","deletePunctuationString a","4","0","1","46.4360842704773"
"57","deletePunctuation","5","1","general.txt","2","3","","0","4","0","3.25884366035461"
"58","deletePunctuation","5","1","general.txt","3","3","","0","4","0","3.49213099479675"
"59","deletePunctuation","5","1","general.txt","4","3","","0","4","0","3.42134642601013"
"60","deletePunctuation","5","1","general.txt","5","3","","0","4","0","3.06912922859192"
"61","deletePunctuation","5","1","names.txt","2","3","deletePunctuationString a","4","0","1","3.42999291419983"
"62","deletePunctuation","5","1","names.txt","3","3","deletePunctuationString a","4","0","1","3.78518748283386"
"63","deletePunctuation","5","1","names.txt","4","3","deletePunctuationString a","4","0","1","9.79610967636108"
"64","deletePunctuation","5","1","names.txt","5","3","deletePunctuationString a","4","0","1","107.032828807831"
"65","deletePunctuation","5","1","original.txt","2","3","","0","4","0","3.37145400047302"
"66","deletePunctuation","5","1","original.txt","3","3","","0","4","0","3.18920516967773"
"67","deletePunctuation","5","1","original.txt","4","3","filter isDigit a","4","0","1","5.29146242141724"
"68","deletePunctuation","5","1","original.txt","5","3","filter isDigit a","4","0","1","15.0216512680054"
"69","deletePunctuation","5","1","words.txt","2","3","deletePunctuationString a","4","0","1","3.33518648147583"
"70","deletePunctuation","5","1","words.txt","3","3","deletePunctuationString a","4","0","1","3.72108244895935"
"71","deletePunctuation","5","1","words.txt","4","3","deletePunctuationString a","4","0","1","8.95186567306519"
