"","id_file","total_rows","total_inputs","primitive_set","d","num_examples","function","correct_outputs","incorrect_outputs","accuracy","time"
"1","getNomenclature","4","1","dates.txt","2","1","reduceMonth a","0","3","0","3.61734819412231"
"2","getNomenclature","4","1","dates.txt","3","1","reduceMonth a","0","3","0","4.36352300643921"
"3","getNomenclature","4","1","dates.txt","4","1","reduceMonth a","0","3","0","7.10266304016113"
"4","getNomenclature","4","1","dates.txt","5","1","reduceMonth a","0","3","0","84.9000737667084"
"5","getNomenclature","4","1","emails.txt","2","1","getFirstWord a","1","2","0.333333333333333","3.28729176521301"
"6","getNomenclature","4","1","emails.txt","3","1","getFirstWord a","1","2","0.333333333333333","3.72114706039429"
"7","getNomenclature","4","1","emails.txt","4","1","getFirstWord a","1","2","0.333333333333333","6.40962696075439"
"8","getNomenclature","4","1","emails.txt","5","1","getFirstWord a","1","2","0.333333333333333","45.9746265411377"
"9","getNomenclature","4","1","general.txt","2","1","","0","3","0","3.25810575485229"
"10","getNomenclature","4","1","general.txt","3","1","","0","3","0","3.62182378768921"
"11","getNomenclature","4","1","general.txt","4","1","","0","3","0","3.18147230148315"
"12","getNomenclature","4","1","general.txt","5","1","","0","3","0","3.07719159126282"
"13","getNomenclature","4","1","names.txt","2","1","getNomenclature a","3","0","1","3.83264708518982"
"14","getNomenclature","4","1","names.txt","3","1","getNomenclature a","3","0","1","4.00244951248169"
"15","getNomenclature","4","1","names.txt","4","1","getNomenclature a","3","0","1","9.8808126449585"
"16","getNomenclature","4","1","names.txt","5","1","getNomenclature a","3","0","1","109.185207843781"
"17","getNomenclature","4","1","original.txt","2","1","","0","3","0","3.46490883827209"
"18","getNomenclature","4","1","original.txt","3","1","take 3 a","0","3","0","3.51275420188904"
"19","getNomenclature","4","1","original.txt","4","1","take 3 a","0","3","0","4.95816421508789"
"20","getNomenclature","4","1","original.txt","5","1","take 3 a","0","3","0","17.911817073822"
"21","getNomenclature","4","1","words.txt","2","1","getFirstWord a","1","2","0.333333333333333","3.37542986869812"
"22","getNomenclature","4","1","words.txt","3","1","getFirstWord a","1","2","0.333333333333333","4.00275659561157"
"23","getNomenclature","4","1","words.txt","4","1","getFirstWord a","1","2","0.333333333333333","9.19269728660583"
"24","getNomenclature","4","1","words.txt","5","1","getFirstWord a","1","2","0.333333333333333","90.2163643836975"
"25","getNomenclature","4","1","dates.txt","2","2","","0","3","0","3.0294337272644"
"26","getNomenclature","4","1","dates.txt","3","2","drop 15 a","1","2","0.333333333333333","4.00754117965698"
"27","getNomenclature","4","1","dates.txt","4","2","drop 15 a","1","2","0.333333333333333","7.12896752357483"
"28","getNomenclature","4","1","dates.txt","5","2","drop 15 a","1","2","0.333333333333333","87.3759655952454"
"29","getNomenclature","4","1","emails.txt","2","2","getLastWord a","0","3","0","3.28153371810913"
"30","getNomenclature","4","1","emails.txt","3","2","getLastWord a","0","3","0","4.46993970870972"
"31","getNomenclature","4","1","emails.txt","4","2","getLastWord a","0","3","0","6.44099545478821"
"32","getNomenclature","4","1","emails.txt","5","2","getLastWord a","0","3","0","46.0387935638428"
"33","getNomenclature","4","1","general.txt","2","2","","0","3","0","3.40619730949402"
"34","getNomenclature","4","1","general.txt","3","2","","0","3","0","3.33605003356934"
"35","getNomenclature","4","1","general.txt","4","2","","0","3","0","3.30887842178345"
"36","getNomenclature","4","1","general.txt","5","2","","0","3","0","3.2273371219635"
"37","getNomenclature","4","1","names.txt","2","2","getNomenclature a","3","0","1","3.21130108833313"
"38","getNomenclature","4","1","names.txt","3","2","getNomenclature a","3","0","1","3.68406772613525"
"39","getNomenclature","4","1","names.txt","4","2","getNomenclature a","3","0","1","10.1850109100342"
"40","getNomenclature","4","1","names.txt","5","2","getNomenclature a","3","0","1","109.339464187622"
"41","getNomenclature","4","1","original.txt","2","2","","0","3","0","3.43843865394592"
"42","getNomenclature","4","1","original.txt","3","2","","0","3","0","3.43860602378845"
"43","getNomenclature","4","1","original.txt","4","2","","0","3","0","5.31294274330139"
"44","getNomenclature","4","1","original.txt","5","2","reverse (take 3 (reverse a))","0","3","0","16.1172668933868"
"45","getNomenclature","4","1","words.txt","2","2","getLastWord a","0","3","0","3.32338190078735"
"46","getNomenclature","4","1","words.txt","3","2","getLastWord a","0","3","0","3.85533428192139"
"47","getNomenclature","4","1","words.txt","4","2","getLastWord a","0","3","0","8.70426559448242"
"48","getNomenclature","4","1","words.txt","5","2","getLastWord a","0","3","0","92.0870983600616"
"49","getNomenclature","4","1","dates.txt","2","3","","0","3","0","3.51112580299377"
"50","getNomenclature","4","1","dates.txt","3","3","take 5 a","0","3","0","4.18236827850342"
"51","getNomenclature","4","1","dates.txt","4","3","take 5 a","0","3","0","7.37110376358032"
"52","getNomenclature","4","1","dates.txt","5","3","take 5 a","0","3","0","85.0122666358948"
"53","getNomenclature","4","1","emails.txt","2","3","getFirstWord a","1","2","0.333333333333333","3.07805275917053"
"54","getNomenclature","4","1","emails.txt","3","3","getFirstWord a","1","2","0.333333333333333","3.57396268844604"
"55","getNomenclature","4","1","emails.txt","4","3","getFirstWord a","1","2","0.333333333333333","6.2768726348877"
"56","getNomenclature","4","1","emails.txt","5","3","getFirstWord a","1","2","0.333333333333333","46.7505481243134"
"57","getNomenclature","4","1","general.txt","2","3","","0","3","0","3.36210203170776"
"58","getNomenclature","4","1","general.txt","3","3","","0","3","0","3.35798048973083"
"59","getNomenclature","4","1","general.txt","4","3","","0","3","0","3.37418937683105"
"60","getNomenclature","4","1","general.txt","5","3","","0","3","0","3.34277272224426"
"61","getNomenclature","4","1","names.txt","2","3","getNomenclature a","3","0","1","3.35420322418213"
"62","getNomenclature","4","1","names.txt","3","3","getNomenclature a","3","0","1","3.79510116577148"
"63","getNomenclature","4","1","names.txt","4","3","getNomenclature a","3","0","1","9.82050538063049"
"64","getNomenclature","4","1","names.txt","5","3","getNomenclature a","3","0","1","106.767953157425"
"65","getNomenclature","4","1","original.txt","2","3","","0","3","0","3.7141706943512"
"66","getNomenclature","4","1","original.txt","3","3","","0","3","0","3.39597630500793"
"67","getNomenclature","4","1","original.txt","4","3","nubBy (\b _ -> isPunctuation b) a","1","2","0.333333333333333","5.38531708717346"
"68","getNomenclature","4","1","original.txt","5","3","nubBy (\b _ -> isPunctuation b) a","1","2","0.333333333333333","14.0271883010864"
"69","getNomenclature","4","1","words.txt","2","3","getFirstWord a","1","2","0.333333333333333","3.38885450363159"
"70","getNomenclature","4","1","words.txt","3","3","getFirstWord a","1","2","0.333333333333333","3.67282223701477"
"71","getNomenclature","4","1","words.txt","4","3","getFirstWord a","1","2","0.333333333333333","8.64013981819153"
"72","getNomenclature","4","1","words.txt","5","3","getFirstWord a","1","2","0.333333333333333","90.6540048122406"
"73","getNomenclature","4","1","dates.txt","2","4","","0","3","0","3.33120608329773"
"74","getNomenclature","4","1","dates.txt","3","4","drop 18 a","0","3","0","3.69378089904785"
